Count,In-degree,Out-degree
27742,0,2
9476,0,3
1923,0,4
677,0,5
305,0,6
150,0,7
85,0,8
35,0,9
33,0,10
15,0,11
10,0,12
18,0,13
8,0,14
4,0,15
1,0,16
1,0,17
1,0,18
1,0,19
1,0,20
1,0,21
1,0,22
1,0,23
1,0,24
1,0,25
1,0,29
1,0,32
1,0,77
1,0,116
175,1,0
55535,1,1
19055,1,2
4041,1,3
1271,1,4
512,1,5
301,1,6
141,1,7
83,1,8
61,1,9
37,1,10
18,1,11
16,1,12
7,1,13
9,1,14
2,1,15
7,1,16
4,1,17
1,1,18
4,1,19
2,1,20
1,1,21
3,1,22
5,1,23
2,1,24
1,1,28
1,1,29
1,1,33
1,1,35
1,1,37
1,1,50
27483,2,0
18836,2,1
3843,2,2
1262,2,3
516,2,4
280,2,5
154,2,6
92,2,7
71,2,8
37,2,9
26,2,10
12,2,11
12,2,12
6,2,13
16,2,14
9,2,15
3,2,16
6,2,17
5,2,18
3,2,19
1,2,20
1,2,22
1,2,23
4,2,24
1,2,25
2,2,26
1,2,27
1,2,32
1,2,54
9558,3,0
4008,3,1
1219,3,2
572,3,3
272,3,4
146,3,5
96,3,6
55,3,7
34,3,8
13,3,9
12,3,10
11,3,11
4,3,12
10,3,13
5,3,14
4,3,15
5,3,16
2,3,17
1,3,18
1,3,19
1,3,20
5,3,21
2,3,23
1,3,26
1,3,29
1,3,31
1,3,35
1866,4,0
1291,4,1
544,4,2
250,4,3
173,4,4
88,4,5
60,4,6
34,4,7
28,4,8
19,4,9
14,4,10
10,4,11
10,4,12
4,4,13
4,4,14
4,4,15
3,4,16
2,4,17
4,4,18
3,4,19
1,4,20
2,4,22
1,4,23
1,4,25
3,4,27
1,4,29
1,4,31
1,4,34
1,4,35
1,4,47
647,5,0
591,5,1
289,5,2
167,5,3
77,5,4
42,5,5
45,5,6
24,5,7
19,5,8
9,5,9
7,5,10
8,5,11
4,5,12
4,5,13
3,5,14
6,5,15
3,5,16
4,5,17
1,5,18
4,5,19
2,5,20
3,5,21
1,5,23
2,5,26
1,5,27
1,5,29
286,6,0
275,6,1
131,6,2
90,6,3
51,6,4
42,6,5
27,6,6
21,6,7
19,6,8
10,6,9
12,6,10
2,6,11
2,6,12
5,6,13
4,6,14
3,6,15
3,6,16
1,6,17
1,6,18
1,6,19
3,6,20
2,6,21
1,6,23
2,6,25
1,6,28
138,7,0
146,7,1
92,7,2
55,7,3
34,7,4
27,7,5
24,7,6
10,7,7
10,7,8
8,7,9
6,7,10
6,7,11
2,7,12
2,7,13
5,7,14
3,7,15
4,7,16
1,7,19
1,7,20
1,7,24
1,7,36
1,7,48
1,7,53
71,8,0
89,8,1
65,8,2
36,8,3
25,8,4
21,8,5
11,8,6
12,8,7
9,8,8
5,8,9
4,8,10
4,8,11
5,8,12
1,8,13
1,8,14
1,8,15
1,8,16
2,8,18
1,8,19
3,8,20
1,8,21
1,8,27
1,8,34
40,9,0
48,9,1
43,9,2
16,9,3
15,9,4
13,9,5
10,9,6
9,9,7
8,9,8
5,9,9
1,9,10
2,9,11
1,9,12
2,9,13
2,9,14
1,9,15
2,9,16
1,9,17
1,9,24
1,9,29
1,9,49
1,9,56
1,9,62
1,9,81
32,10,0
35,10,1
30,10,2
26,10,3
21,10,4
14,10,5
6,10,6
7,10,7
1,10,8
4,10,9
3,10,10
3,10,11
2,10,12
2,10,13
1,10,14
1,10,15
2,10,17
1,10,18
1,10,20
1,10,25
2,10,28
1,10,30
1,10,32
1,10,35
1,10,59
22,11,0
30,11,1
18,11,2
20,11,3
6,11,4
8,11,5
7,11,6
6,11,7
2,11,8
3,11,9
3,11,10
4,11,11
1,11,12
1,11,14
3,11,16
3,11,17
1,11,20
1,11,23
1,11,27
1,11,81
13,12,0
28,12,1
13,12,2
11,12,3
10,12,4
6,12,5
4,12,6
4,12,7
4,12,8
1,12,9
1,12,10
2,12,11
2,12,12
2,12,13
1,12,15
1,12,17
1,12,24
1,12,28
1,12,31
1,12,52
1,12,73
8,13,0
20,13,1
11,13,2
6,13,3
12,13,4
2,13,5
1,13,6
3,13,7
3,13,8
4,13,9
2,13,10
3,13,11
2,13,12
1,13,13
1,13,15
1,13,16
1,13,19
1,13,20
1,13,22
1,13,35
1,13,38
8,14,0
9,14,1
6,14,2
2,14,3
5,14,4
4,14,5
4,14,7
1,14,8
2,14,9
1,14,10
1,14,11
1,14,13
1,14,14
1,14,15
1,14,17
1,14,18
1,14,20
1,14,26
1,14,27
1,14,29
1,14,33
1,14,37
4,15,0
10,15,1
6,15,2
4,15,3
4,15,4
6,15,5
2,15,6
4,15,7
1,15,11
1,15,12
1,15,14
1,15,22
1,15,24
1,15,30
1,15,43
4,16,0
4,16,1
2,16,2
3,16,3
4,16,5
2,16,6
1,16,7
2,16,8
1,16,9
1,16,10
1,16,11
1,16,12
1,16,15
1,16,24
1,16,26
1,16,50
1,16,80
3,17,0
3,17,1
3,17,2
5,17,3
2,17,4
1,17,5
3,17,6
1,17,7
1,17,11
1,17,15
1,17,16
1,17,19
1,17,30
1,17,65
3,18,0
4,18,1
2,18,2
1,18,3
1,18,4
1,18,5
1,18,6
1,18,7
1,18,8
3,18,10
2,18,11
1,18,12
1,18,14
1,18,15
1,18,16
1,18,19
1,18,22
1,18,27
1,18,31
1,18,59
1,19,0
2,19,1
3,19,2
2,19,3
2,19,4
2,19,5
2,19,6
1,19,7
2,19,8
1,19,9
1,19,25
2,20,0
2,20,1
2,20,2
1,20,4
1,20,6
1,20,7
1,20,9
2,20,12
2,20,14
1,20,17
1,20,29
1,20,30
