Count,In-degree,Out-degree
13818,0,2
4830,0,3
936,0,4
307,0,5
143,0,6
59,0,7
48,0,8
21,0,9
10,0,10
11,0,11
3,0,12
5,0,13
3,0,14
3,0,15
1,0,16
2,0,17
1,0,20
1,0,35
40,1,0
27926,1,1
9415,1,2
2018,1,3
626,1,4
261,1,5
126,1,6
76,1,7
51,1,8
29,1,9
10,1,10
17,1,11
9,1,12
4,1,13
4,1,14
7,1,15
2,1,16
2,1,17
1,1,18
1,1,19
1,1,20
1,1,21
1,1,23
1,1,26
13934,2,0
9392,2,1
1972,2,2
627,2,3
244,2,4
114,2,5
76,2,6
55,2,7
26,2,8
19,2,9
11,2,10
9,2,11
3,2,12
8,2,13
5,2,15
3,2,17
1,2,18
3,2,20
2,2,21
1,2,28
1,2,33
1,2,36
1,2,54
1,2,188
4710,3,0
1960,3,1
641,3,2
284,3,3
143,3,4
60,3,5
46,3,6
29,3,7
13,3,8
16,3,9
11,3,10
9,3,11
7,3,12
6,3,13
4,3,15
2,3,16
4,3,17
1,3,19
1,3,25
1,3,29
1,3,34
1,3,42
977,4,0
673,4,1
281,4,2
129,4,3
84,4,4
41,4,5
27,4,6
21,4,7
16,4,8
8,4,9
3,4,10
3,4,11
6,4,12
2,4,13
2,4,14
1,4,16
1,4,17
1,4,20
1,4,21
1,4,24
1,4,27
1,4,28
2,4,31
325,5,0
269,5,1
140,5,2
87,5,3
33,5,4
29,5,5
19,5,6
20,5,7
3,5,8
6,5,9
7,5,10
4,5,11
4,5,12
1,5,13
1,5,14
2,5,15
2,5,16
2,5,17
1,5,18
1,5,19
1,5,21
1,5,34
1,5,86
114,6,0
138,6,1
72,6,2
32,6,3
26,6,4
14,6,5
13,6,6
5,6,7
5,6,8
1,6,10
4,6,11
3,6,12
1,6,13
2,6,14
4,6,16
2,6,17
1,6,18
2,6,19
2,6,20
1,6,24
63,7,0
75,7,1
49,7,2
26,7,3
21,7,4
13,7,5
10,7,6
10,7,7
2,7,8
3,7,9
2,7,10
3,7,11
2,7,12
2,7,13
2,7,14
3,7,15
1,7,16
1,7,17
1,7,18
1,7,21
1,7,22
1,7,27
1,7,35
1,7,42
35,8,0
44,8,1
22,8,2
20,8,3
15,8,4
6,8,5
11,8,6
5,8,7
6,8,8
2,8,9
1,8,11
2,8,12
1,8,13
1,8,16
1,8,20
1,8,24
1,8,42
24,9,0
20,9,1
17,9,2
11,9,3
8,9,4
8,9,5
6,9,6
6,9,7
2,9,8
2,9,9
4,9,10
7,9,11
2,9,12
2,9,16
1,9,17
1,9,18
1,9,21
1,9,24
1,9,25
1,9,29
1,9,35
12,10,0
10,10,1
8,10,2
11,10,3
7,10,4
8,10,5
4,10,6
2,10,7
2,10,8
4,10,9
1,10,11
1,10,13
2,10,15
1,10,16
1,10,26
1,10,29
1,10,31
10,11,0
15,11,1
9,11,2
6,11,3
4,11,4
5,11,5
2,11,6
2,11,7
4,11,8
5,11,9
1,11,10
1,11,11
1,11,12
1,11,13
1,11,14
1,11,17
1,11,25
1,11,26
12,12,0
11,12,1
4,12,2
7,12,3
5,12,4
6,12,5
3,12,6
3,12,8
6,12,9
1,12,12
1,12,13
1,12,14
1,12,18
1,12,20
1,12,23
1,12,24
1,12,52
4,13,0
7,13,1
7,13,2
4,13,3
3,13,5
2,13,6
3,13,7
1,13,9
1,13,10
1,13,16
1,13,21
2,13,23
1,13,51
2,14,0
5,14,1
6,14,2
1,14,3
1,14,4
2,14,5
3,14,6
1,14,7
1,14,8
2,14,9
1,14,11
1,14,12
1,14,13
2,14,15
4,15,1
2,15,2
3,15,3
2,15,5
1,15,9
1,15,10
1,15,11
1,15,15
1,15,20
1,15,39
1,15,139
1,16,0
1,16,1
1,16,2
2,16,3
1,16,4
1,16,5
2,16,6
1,16,12
2,16,16
1,16,26
4,17,0
2,17,1
1,17,2
1,17,4
2,17,5
1,17,6
1,17,9
1,17,18
1,17,20
1,17,24
1,18,0
6,18,1
1,18,2
1,18,6
1,18,21
1,18,36
1,18,44
4,19,1
1,19,2
1,19,3
2,19,4
3,19,6
1,19,7
1,19,8
1,19,14
1,19,17
1,19,28
1,20,0
2,20,1
2,20,2
1,20,3
1,20,7
1,20,14
1,20,19
1,20,30
1,20,45
2,21,1
2,21,2
1,21,3
1,21,7
1,21,9
1,22,1
1,22,2
1,22,5
1,22,6
1,22,9
1,22,12
1,22,23
1,22,70
1,23,1
1,23,2
2,23,5
1,23,45
1,24,2
2,24,5
2,24,9
1,24,19
2,25,2
1,25,6
1,25,8
1,25,24
1,26,1
1,26,3
1,26,4
1,26,59
1,27,2
1,27,3
1,27,8
1,28,0
1,28,5
1,28,9
1,28,14
1,28,82
1,29,6
1,29,7
1,30,5
1,31,3
2,31,5
1,31,11
1,32,19
1,34,4
1,36,2
1,36,8
1,36,37
1,37,79
1,39,34
1,40,9
1,42,4
1,44,4
1,44,18
1,45,11
1,48,1
1,51,1
1,54,9
1,67,1
1,69,43
1,83,31
1,88,59
1,157,95
1,183,19
