Count,In-degree,Out-degree
16,0,1
1357,0,2
462,0,3
98,0,4
41,0,5
14,0,6
6,0,7
7,0,8
2,0,9
1,0,10
1,0,12
1,0,18
1,0,22
2760,1,1
972,1,2
174,1,3
68,1,4
36,1,5
13,1,6
7,1,7
4,1,8
2,1,9
1,1,11
1,1,12
2,1,14
1,1,16
1,1,17
1,1,18
1393,2,0
961,2,1
184,2,2
60,2,3
33,2,4
14,2,5
5,2,6
7,2,7
3,2,8
4,2,10
1,2,11
1,2,12
1,2,16
1,2,21
1,2,49
474,3,0
206,3,1
72,3,2
13,3,3
22,3,4
6,3,5
7,3,6
2,3,7
2,3,8
1,3,9
2,3,10
2,3,12
1,3,35
87,4,0
58,4,1
26,4,2
14,4,3
8,4,4
8,4,5
2,4,6
3,4,7
2,4,8
1,4,9
3,4,12
1,4,13
2,4,15
1,4,16
32,5,0
40,5,1
19,5,2
6,5,3
1,5,4
2,5,5
4,5,6
12,6,0
11,6,1
8,6,2
3,6,3
5,6,4
1,6,5
1,6,6
1,6,8
1,6,9
1,6,19
5,7,0
5,7,1
3,7,2
3,7,3
2,7,4
1,7,6
1,7,7
1,7,9
1,7,15
1,7,16
1,8,0
4,8,1
3,8,2
4,8,3
2,8,4
1,9,0
3,9,1
5,9,2
1,9,3
1,9,6
2,9,11
4,10,0
2,10,1
1,10,3
1,10,5
1,10,8
1,11,1
3,11,2
1,11,4
1,11,7
1,11,9
1,11,10
1,11,13
1,12,1
3,12,2
1,12,4
1,12,8
1,13,1
1,13,2
2,13,3
1,13,5
1,13,9
1,13,10
1,13,12
1,14,2
1,14,4
1,14,9
1,15,17
1,15,37
1,16,3
1,16,5
1,17,1
1,17,3
1,17,8
1,18,2
1,21,1
1,21,2
1,22,6
1,23,9
1,23,22
1,24,19
1,26,1
1,27,12
1,29,6
1,32,3
1,33,14
1,36,6
1,41,19
1,158,229
